Date,Open,High,Low,Close
Aug 30 2021,48767.84,48888.61,46853,46982.91
Aug 31 2021,46982.91,48246.11,46700,47100.89
Sep 1 2021,47100.89,49156,46512,48810.52
Sep 2 2021,48810.51,50450.13,48584.06,49246.64
Sep 3 2021,49246.63,51000,48316.84,49999.14
Sep 4 2021,49998,50535.69,49370,49915.64
Sep 5 2021,49917.54,51900,49450,51756.88
Sep 6 2021,51756.88,52780,50969.33,52663.9
Sep 7 2021,52666.2,52920,42843.05,46863.73
Sep 8 2021,46868.57,47340.99,44412.02,46048.31
Sep 9 2021,46048.31,47399.97,45513.08,46395.14
Sep 10 2021,46395.14,47033,44132.29,44850.91
Sep 11 2021,44842.2,45987.93,44722.22,45173.69
Sep 12 2021,45173.68,46460,44742.06,46025.24
Sep 13 2021,46025.23,46880,43370,44940.73
Sep 14 2021,44940.72,47250,44594.44,47111.52
Sep 15 2021,47103.28,48500,46682.32,48121.41
Sep 16 2021,48121.4,48557,47021.1,47737.82
Sep 17 2021,47737.81,48150,46699.56,47299.98
Sep 18 2021,47299.98,48843.2,47035.56,48292.74
Sep 19 2021,48292.75,48372.83,46829.18,47241.75
Sep 20 2021,47241.75,47347.25,42500,43015.62
Sep 21 2021,43016.64,43639,39600,40734.38
Sep 22 2021,40734.09,44000.55,40565.39,43543.61
Sep 23 2021,43546.37,44978,43069.09,44865.26
Sep 24 2021,44865.26,45200,40675,42810.57
Sep 25 2021,42810.58,42966.84,41646.28,42670.64
Sep 26 2021,42670.63,43950,40750,43160.9
Sep 27 2021,43160.9,44350,42098,42147.35
Sep 28 2021,42147.35,42787.38,40888,41026.54
Sep 29 2021,41025.01,42590,40753.88,41524.28
Sep 30 2021,41524.29,44141.37,41410.17,43824.1
Oct 1 2021,43820.01,48495,43283.03,48141.61
Oct 2 2021,48141.6,48336.59,47430.18,47634.9
Oct 3 2021,47634.89,49228.08,47088,48200.01
Oct 4 2021,48200.01,49536.12,46891,49224.94
Oct 5 2021,49224.93,51886.3,49022.4,51471.99
Oct 6 2021,51471.99,55750,50382.41,55315
Oct 7 2021,55315,55332.31,53357,53785.22
Oct 8 2021,53785.22,56100,53617.61,53951.43
Oct 9 2021,53955.67,55489,53661.67,54949.72
Oct 10 2021,54949.72,56561.31,54080,54659
Oct 11 2021,54659.01,57839.04,54415.06,57471.35
Oct 12 2021,57471.35,57680,53879,55996.93
Oct 13 2021,55996.91,57777,54167.19,57367
Oct 14 2021,57370.83,58532.54,56818.05,57347.94
Oct 15 2021,57347.94,62933,56850,61672.42
Oct 16 2021,61672.42,62378.42,60150,60875.57
Oct 17 2021,60875.57,61718.39,58963,61528.33
Oct 18 2021,61528.32,62695.78,59844.45,62009.84
Oct 19 2021,62005.6,64486,61322.22,64280.59
Oct 20 2021,64280.59,67000,63481.4,66001.41
Oct 21 2021,66001.4,66639.74,62000,62193.15
Oct 22 2021,62193.15,63732.39,60000,60688.22
Oct 23 2021,60688.23,61747.64,59562.15,61286.75
Oct 24 2021,61286.75,61500,59510.63,60852.22
Oct 25 2021,60852.22,63710.63,60650,63078.78
Oct 26 2021,63078.78,63293.48,59817.55,60328.81
Oct 27 2021,60328.81,61496,58000,58413.44
Oct 28 2021,58413.44,62499,57820,60575.89
Oct 29 2021,60575.9,62980,60174.81,62253.71
Oct 30 2021,62253.7,62359.25,60673,61859.19
Oct 31 2021,61859.19,62405.3,59945.36,61299.8
Nov 1 2021,61299.81,62437.74,59405,60911.11
Nov 2 2021,60911.12,64270,60624.68,63219.99
Nov 3 2021,63220.57,63500,60382.76,62896.48
Nov 4 2021,62896.49,63086.31,60677.01,61395.01
Nov 5 2021,61395.01,62595.72,60721,60937.12
Nov 6 2021,60940.18,61560.49,60050,61470.61
Nov 7 2021,61470.62,63286.35,61322.78,63273.59
Nov 8 2021,63273.58,67789,63273.58,67525.83
Nov 9 2021,67525.82,68524.25,66222.4,66947.66
Nov 10 2021,66947.67,69000,62822.9,64882.43
Nov 11 2021,64882.42,65600.07,64100,64774.26
Nov 12 2021,64774.25,65450.7,62278,64122.23
Nov 13 2021,64122.22,65000,63360.22,64380
Nov 14 2021,64380.01,65550.51,63576.27,65519.1
Nov 15 2021,65519.11,66401.82,63400,63606.74
Nov 16 2021,63606.73,63617.31,58574.07,60058.87
Nov 17 2021,60058.87,60840.23,58373,60344.87
Nov 18 2021,60344.86,60976,56474.26,56891.62
Nov 19 2021,56891.62,58320,55600,58052.24
Nov 20 2021,58057.1,59845,57353,59707.51
Nov 21 2021,59707.52,60029.76,58486.65,58622.02
Nov 22 2021,58617.7,59444,55610,56247.18
Nov 23 2021,56243.83,58009.99,55317,57541.27
Nov 24 2021,57541.26,57735,55837,57138.29
Nov 25 2021,57138.29,59398.9,57000,58960.36
Nov 26 2021,58960.37,59150,53500,53726.53
Nov 27 2021,53723.72,55280,53610,54721.03
Nov 28 2021,54716.47,57445.05,53256.64,57274.88
Nov 29 2021,57274.89,58865.97,56666.67,57776.25
Nov 30 2021,57776.25,59176.99,55875.55,56950.56
Dec 1 2021,56950.56,59053.55,56458.01,57184.07
Dec 2 2021,57184.07,57375.47,55777.77,56480.34
Dec 3 2021,56484.26,57600,51680,53601.05
Dec 4 2021,53601.05,53859.1,42000.3,49152.47
Dec 5 2021,49152.46,49699.05,47727.21,49396.33
Dec 6 2021,49396.32,50891.11,47100,50441.92
Dec 7 2021,50441.91,51936.33,50039.74,50588.95
Dec 8 2021,50588.95,51200,48600,50471.19
Dec 9 2021,50471.19,50797.76,47320,47545.59
Dec 10 2021,47535.9,50125,46852,47140.54
Dec 11 2021,47140.54,49485.71,46751,49389.99
Dec 12 2021,49389.99,50777,48638,50053.9
Dec 13 2021,50053.9,50189.97,45672.75,46702.75
Dec 14 2021,46702.76,48700.41,46290,48343.28
Dec 15 2021,48336.95,49500,46547,48864.98
Dec 16 2021,48864.98,49436.43,47511,47632.38
Dec 17 2021,47632.38,47995.96,45456,46131.2
Dec 18 2021,46133.83,47392.37,45500,46834.48
Dec 19 2021,46834.47,48300.01,46406.91,46681.23
Dec 20 2021,46681.24,47537.57,45558.85,46914.16
Dec 21 2021,46914.17,49328.96,46630,48889.88
Dec 22 2021,48887.59,49576.13,48421.87,48588.16
Dec 23 2021,48588.17,51375,47920.42,50838.81
Dec 24 2021,50838.82,51810,50384.43,50820
Dec 25 2021,50819.99,51156.23,50142.32,50399.66
Dec 26 2021,50399.67,51280,49412,50775.49
Dec 27 2021,50775.48,52088,50449,50701.44
Dec 28 2021,50701.44,50704.05,47313.01,47543.74
Dec 29 2021,47543.74,48139.08,46096.99,46464.66
Dec 30 2021,46464.66,47900,45900,47120.87
Dec 31 2021,47120.88,48548.26,45678,46216.93
Jan 1 2022,46216.93,47954.63,46208.37,47722.65
Jan 2 2022,47722.66,47990,46654,47286.18
Jan 3 2022,47286.18,47570,45696,46446.1
Jan 4 2022,46446.1,47557.54,45500,45832.01
Jan 5 2022,45832.01,47070,42500,43451.13
Jan 6 2022,43451.14,43816,42430.58,43082.31
Jan 7 2022,43082.3,43145.83,40610,41566.48
Jan 8 2022,41566.48,42300,40501,41679.74
Jan 9 2022,41679.74,42786.7,41200.02,41864.62
Jan 10 2022,41864.62,42248.5,39650,41822.49
Jan 11 2022,41822.49,43100,41268.93,42729.29
Jan 12 2022,42729.29,44322,42450,43902.66
Jan 13 2022,43902.65,44500,42311.22,42560.11
Jan 14 2022,42558.35,43448.78,41725.95,43059.96
Jan 15 2022,43059.96,43800,42555,43084.29
Jan 16 2022,43084.29,43475,42581.79,43071.66
Jan 17 2022,43071.66,43176.18,41540.42,42201.62
Jan 18 2022,42201.63,42691,41250,42352.12
Jan 19 2022,42352.12,42559.13,41138.56,41660.01
Jan 20 2022,41660,43505,40553.31,40680.91
Jan 21 2022,40680.92,41100,35440.45,36445.31
Jan 22 2022,36445.31,36835.22,34008,35071.42
Jan 23 2022,35071.42,36499,34601.01,36244.55
Jan 24 2022,36244.55,37550,32917.17,36660.35
Jan 25 2022,36660.35,37545.14,35701,36958.32
Jan 26 2022,36958.32,38919.98,36234.63,36809.34
Jan 27 2022,36807.24,37234.47,35507.01,37160.1
